"author","question"
"Data Scientist at Via Transportation was asked..."," Rides on the Upper East Side receive lower than average ratings, what data would you gather and how would you model this? "
"Data Scientist at J.P. Morgan was asked..."," Dynamic Prediction study"
"Data Scientist at Paperless Post was asked..."," What is a API? What is a ETL Pipeline?"
"Entry Level Data Scientist at Electronic Arts was asked..."," general machine learning questions one algorithm question found in leetcode"
"Data Scientist at Capital One was asked..."," Describe the modeling process from the beginning."
"Data Scientist (Marketing Analytics) at OnDeck was asked..."," Like basic python questions and basic sql query questions."
"Entry Level Data Scientist at Electronic Arts was asked..."," general machine learning questions one algorithm question found in leetcode"
"Data Scientist at OnDeck was asked..."," Like how to implement statistics mean function in python, how to flatten a nested list in Python, and also some SQL easy questions, like basic select query"
"Data Scientist at 6sense was asked..."," Walk through the project details (predictive modeling project)"
"Data Scientist at OnDeck was asked..."," return the largest palindrome from a very long string."
"Data Scientist at Yodle was asked..."," You are playing a game of HORSE with a replica of yourself, so your shooting percentage is probability p (for the both of you). The rules are that if you make a basket and your replica misses, then you win the game. If your replica makes the basket and you miss, then you lose. If you both miss, then you start over again. What is the expected probability that you will win the game?"
"Data Scientist at Centiment was asked..."," How to optimize the model?"
"Data Scientist at The Home Depot was asked..."," How do you determine the price of a product without any information about it?"
"Data Scientist at Amazon was asked..."," Coding: Given a bar plot and imagine you are pouring water from the top, how to qualify how much water can be kept in the bar chart. "
"Data Scientist at ActionIQ was asked..."," Basic coding question -- how do you do ""group by"" operations?"
"Data Scientist at Civis Analytics was asked..."," Why do you want to work for Civis Analytics?"
"Data Scientist at ActionIQ was asked..."," Data challenge -- rank and score 50000 tweets in a text doc based on sentiment (in 3 hours)"
"Data Scientist at Commonwealth Bank of Australia was asked..."," They gave exercise to solve."
"Junior Data Scientist at Unified was asked..."," sql stuff"
"Data Scientist at New York Life was asked..."," Statistical and Machine Learning questions such as: What is ROC curve? Difference between Random Forest and Boosting."
"Data Scientist at Riot Games was asked..."," When to use Python and R"
"Data Scientist at Fulcrum Analytics was asked..."," Tell me about your background, some brain teasers, ML and stats questions, SQL and Python/R Whiteboard questions."
"Driver at Jimmy John's was asked..."," Are you reliable?"
"Data Scientist at AOL was asked..."," We got past what I did and then walked through some of the details of a problem the team was working on. An entity matching problem with many attributes."
"Data Scientist at Capital One was asked..."," Biz case study interview, behaviorial, technical case study, technical interview."
"Data Scientist at Feedzai was asked..."," Q: explain the kaggle challenge dataset, what did you see in data, what features did you use and why?"
"Data Scientist Interview at Correlation One was asked..."," related to predicting stock values."
"Data Scientist at Wish was asked..."," Basic question about String manipulation."
"Data Scientist at Grab was asked..."," What is overfitting and how you deal with it"
"Data Scientist at Facebook was asked..."," Fundamental Algorithm questions that every Computer Scientist should know. "
"Data Scientist at Plated was asked..."," how would you design such recommendation system and follow up questions"
"Data Scientist at AllianceBernstein was asked..."," What is bias variance trade off? Does K-NN require you to scale your features? How would you perform classification if you had to use linear regression? What are assumptions of linear regression? How would you assess your model? Lots of questions relating to recall, precision, etc."
"Data Scientist at SoundCloud was asked..."," What is one thing you'd like to accomplish as a data scientist at SoundCloud?"
"Data Scientist at Endgame was asked..."," How do you describe data scientist?"
"Data Scientist at Temasek was asked..."," What would your managers (at my previous internship) say about you if I call them?"
"Data Scientist at Via Transportation was asked..."," If we want to build a logistic regression model with the distance (between the rider's current location and the pickup location) as the feature and the rider's acceptance as output, what would be the meaning of the coefficient of the feature, how about the intercept? What will happen to the model if we change the scale of the distance (from mile to km, or from km to m)?"
"Data Scientist at Bowery Farming was asked..."," Most questions related to thinking through problems typical to the role and discussing possible solutions"
"Data Scientist at S&P Global Ratings was asked..."," What are ways to do feature selections"
"Data Scientist at Simon Data was asked..."," Tell me how logistic regression works? "
"Data Scientist at SoundCloud was asked..."," ""For a user X, recommend 5 playlists they would like that they haven’t heard before. You can attempt this via SQL or any other programming language of your choice. Please explain your logic."""
"Data Scientist at Bloomberg L.P. was asked..."," I was asked several times to describe a situation where I had a conflict with a manager to the point where it made me wonder if they have a lot of conflicts in their department."
"Data Scientist at Credit Acceptance was asked..."," What is the difference between a left join and a right join in SQL?"
"Data Scientist at Opera Solutions was asked..."," Explain SIFT (scale invariant feature transform) workflow, Support vector Machines, Newton Optimization method."
"Data Scientist at Deutsch was asked..."," What programming skills have you worked with in the past?"
"Data Scientist at Cognizant Technology Solutions was asked..."," The trend of the data"
"Data Scientist at OpenSlate was asked..."," Describe your project"
"Data Scientist at VIA was asked..."," user case : why the UES driver rate is low, how you find this problem and how you confirm it, how you solve it."
"Data Scientist at Aera Technology was asked..."," Python code"
"Data Scientist at Aera Technology was asked..."," SQL"
"Data Scientist at Aera Technology was asked..."," basic machine learning"
"Data Scientist at Grab was asked..."," Three problems in codility. One sql, two standard algorithm problems."
"Data Scientist at TripAdvisor was asked..."," p-value, F1 score definition, case study on fraud detection like given 99% fraud cases and 1% non fraud what model will you take? one case on, given new hotels, how would you set stuff so that they also get booked."
"Data Scientist at Dell was asked..."," data science basic questions"
"Data Scientist at Capital One was asked..."," Tech: conceptual -- time series, clustering, data munging, experience working with ""real world"" data. Discussion about my previous statistical work (academic research in astronomy)."
"Data Scientist at OnDeck was asked..."," Talk about the projects you worked on "
"Data Scientist at Intent Media was asked..."," Describe A/B Testing and Statistical Significance to a non-technical audience."
"Data Scientist at Wayfair was asked..."," Case study on the price tag"
"Data Scientist at EY was asked..."," Standard behavioral stuff (tell me about a time you had a conflict with your boss, etc.)"
"Data Scientist at Fino Consulting was asked..."," How would you build profiles for user searches on google."
"Data Scientist at CKM Advisors was asked..."," Size the tobacco market in the united states"
"Data Scientist at CKM Advisors was asked..."," If you could have any dataset on any topic (resources/collection methods NOT a factor) what would the dataset look like and what would you do with it."
"Data Scientist at EY was asked..."," What are you working on right now?"
"Data Scientist at Facebook was asked..."," What is the expectation of the variance?"
"Data Scientist at Via Transportation was asked..."," The interview questions on the phone were pretty straightforward data science questions regarding feature selection and building models. The technical challenge is described in detail above."
"Data Scientist at KPMG was asked..."," Presentation"
"Senior Data Scientist at Electric AI was asked..."," What gets you excited to come into work in the morning?"
"Data Scientist at Magnetic was asked..."," Generation of random numbers"
"Data Scientist at CKM Advisors was asked..."," Most questions are about whether you know the method or not."
"Data Scientist at SoundCloud was asked..."," What are you looking for in your next role? "
"Data Scientist at Itlize Global was asked..."," Tell me about your experience? What are the data issues have you faced during work? How do you provide predictive analytics in your project? What are the ML models you have used?"
"Data Scientist at Fulcrum Analytics was asked..."," Which phase of a data science project would you say you are most interested/competent in?"
"Data Scientist at J.P. Morgan was asked..."," do you have any questions？"
"Data Scientist at J.P. Morgan was asked..."," what do you learn from it"
"Data Scientist at J.P. Morgan was asked..."," what are you doing currently"
"Data Scientist at Airbnb was asked..."," A/B testing."
"Data Scientist at Branch International was asked..."," Sorting algorithm and determining duplicates. Definitely had a second part but I spent too much time on solving the first"
"Data Scientist at Branch International was asked..."," How would you create a database structure so that you can recreate history for past models? How would you save the parameters and the results?"
"Data Scientist, Quantitative Analyst at Google was asked..."," How do you estimate the probability of people who are left-hand and own bicycle?"
"Data Scientist at CKM Advisors was asked..."," What's the biggest challenge in your teamwork?"
"Data Scientist at Knewton was asked..."," There was an overly complex and pointless technical challenge which was a recommender system/test question distribution exercise that probably would've taken 40+ hours to complete and was unpaid. "
"Data Scientist at American Express was asked..."," I think that one of the questions they asked was just have no answer. I seriously doubt the validity of the question."
"Data Scientist at CKM Advisors was asked..."," What do you see yourself doing in five years"
"Data Scientist at Capital One was asked..."," Tell me about a time you used someone else expertise to solve a problem. Tell me about a time you learned something new and solved a problem. "
"Data Scientist at Spotify was asked..."," How would you leverage Spotify's data?"
"Data Scientist at Capital One was asked..."," Tell me about your experience in neural network?"
"Data Scientist at BuzzFeed was asked..."," What type of models I have used in my previous job. What role I would like to have in the case I were accepted."
"Data Scientist at First Derivatives was asked..."," Q: What do you know about the CMTP program?"
"Data Scientist at Walmart was asked..."," some questions about my NLP project"
"Data Scientist at First Derivatives was asked..."," Q: Can you tell us about our kdb products?"
"Data Scientist at First Derivatives was asked..."," Q: Have you read anything about us on the news lately?"
"Data Scientist at First Derivatives was asked..."," Q: What do you know about First Derivates?"
"Data Scientist at Fidelity Investments was asked..."," What would R output if these two matrices were multiplied? (non-matching dimensions)"
"Data Scientist at Fidelity Investments was asked..."," How would you make a binary classifier work for multi-class classification?"
"Data Scientist at Fidelity Investments was asked..."," What are your favorite packages in R?"
"Data Scientist at Pymetrics was asked..."," Derive logistic regression."
"Data Scientist at CKM Advisors was asked..."," If you had any dataset you wanted, what would it be and what would you do with it? Explain implementation details."
"Data Scientist at Thinkeco was asked..."," understanding datasets and the energy sector"
"Data Scientist at Analytic Partners was asked..."," why AP? what's your strength and weakness? some time that you have conflict with your team? go through your details in your resume. "
"Data Scientist at Sailthru was asked..."," Under NDA"
"Data Scientist at SAP was asked..."," Q: Name a project you've completed before that other people said was not possible, explain how you approached the project in a constructive manner."
"Data Scientist at Enigma was asked..."," I don't have a specific question, they sent me a data science challenge consisting of a small dataset and some questions."
"Data Scientist at Knewton was asked..."," Write efficient code to find intersections between two lists."
"Data Scientist at Deloitte was asked..."," past projects discussion on feature engineering, algorithm identification"
"Data Scientist at SAP was asked..."," - cross-lingual word vectors - policy gradients - how to deal with the lack of training data"
"Data Scientist at Teachers Pay Teachers was asked..."," it was a phone screen with HR"
"Data Scientist at NewYork-Presbyterian Hospital was asked..."," What is the difference between a class and object in Java?"
"Data Scientist at Booz Allen Hamilton was asked..."," Describe your most recent data science project briefly"
"Data Scientist at Avanade was asked..."," Tell us about a technology you are passionate about."
"Data Scientist at Burtch Works was asked..."," How do you optimize model parameters during model building?"
"Data Scientist at CKM Advisors was asked..."," Where to place an ad given citi bike data"
"Junior Data Scientist at Xoriant was asked..."," Mainly about Codes for different problem and structure of LSTM"
"Principal Data Scientist at Aetna was asked..."," Questions about past projects Why did you pick this machine learning model for this problem? Experience with A/B testing"
"Data Scientist at Knewton was asked..."," How has an analysis you have done impacted a product?"
"Data Scientist at Spotify was asked..."," do something, but we won't tell you what we're looking for."
"Data Scientist at Andela was asked..."," Q: How comprehensive do you think data science can be in terms of predicting outcomes for human performance?"
"Data Scientist at Via Transportation was asked..."," We want to know where are the riders, how would you do that? "
"Data Scientist at CKM Advisors was asked..."," Discuss past projects from your resume"
"Data Scientist at Via Transportation was asked..."," When you run into a research problem you can't solve, what would you do?"
"Data Scientist at Amazon was asked..."," Tell me about yourself."
"Data Scientist at Bloomberg L.P. was asked..."," They asked many questions about programing, Machine Learning, and system design. For the ML one of the questions they asked was about describing Support Vector Machines"
"Data Scientist at CKM Advisors was asked..."," Why are you interested in a career in data science?"
"Data Scientist at SeatGeek was asked..."," Implement random choice function (non-biased) How to do it by using iterator? If only consider location, how to recommend venue to customer? Explain regression to non-business people. Use Spark to generate sum."
"Data Scientist at J.P. Morgan was asked..."," a lot of questions about machine learning algorithms"
"Data Scientist at Jet was asked..."," Tell me about something not on your resume"
"Client Data Scientist at DemystData was asked..."," Why do you want to work here?"
"Data Scientist at Zurich North America was asked..."," Tell me about one project that you are proud of "
"Data Scientist at Squarespace was asked..."," 1. Background and relevant experience 2. How their pricing model could be improved to increase customer retention based on life time value?"
"Senior Data Scientist at LinkedIn was asked..."," The buy/sell stock days to gain the maximum benefit. "
"Senior Data Scientist at Aetna was asked..."," Give an example where you have designed experiments"
"Big Data Scientist at HexaCorp was asked..."," What skill would you apply to the field the most? (I had two choices to be a programmer or Data Analyst route)"
"Data Scientist at KIPP Foundation was asked..."," R packages, Case study"
"Data Scientist at CKM Advisors was asked..."," What's important to you in a company? What's your philosophy for Data Science? Where do you see yourself in 60 years? (60. not a typo.)"
"Data Analyst at Cognius was asked..."," How would every boss you've ever had rate you on a scale of 1-10, and describe why."
"Senior Data Scientist at Aetna was asked..."," Give an example of experimental design you did"
"Data Scientist at ClassPass was asked..."," presentation. A/B testing "
"Data Scientist at Oscar Health was asked..."," If you were god how would you... ? (follow up from original debate question)"
"Data Scientist at AdTheorent was asked..."," I got a physics question and about three coding questions related to card shuffling. "
"Data Scientist at J.P. Morgan was asked..."," Diagnostics of linear and logistic regressions. "
"Data Mining Scientist at Etsy was asked..."," Given the set a a b b a a c c b b of unknown length, write an algorithm that figures out which occurs most frequently and with the most continuous repetition."
"Data Scientist at BuzzFeed was asked..."," Why do you want to join buzzfeed?"
"Data Scientist at Capgemini was asked..."," Questions were basic"
"Data Scientist at CKM Advisors was asked..."," What will the prevalence of solar energy be in 2025 (give me a number)? Talk about projects you've worked on. Tell me about how the internet works."
"Data Scientist at Via Transportation was asked..."," The written test asked me how I would figure out whether to expand service to Astoria "
"Data Scientist at Lynx Analytics was asked..."," SQL, programming, and statement based questions."
"Data Scientist at GE was asked..."," how to react in the stressful and changeling environment? How to evaluate the success of a product? Programming Questions and General Questions about PhD Work"
"Data Scientist at Barclays was asked..."," How will you evaluate your model on email data set?"
"Data Scientist at Capital One was asked..."," (onsite) How would you explain the multinomial distribution and write python code on a whiteboard to represent this distribution"
"Data Scientist at Legends was asked..."," Why does logistic linear regression give the best performance in your project?"
"Data Scientist at Xero was asked..."," past exp5"
"Data Scientist at National Grid USA was asked..."," The analytical question was how to lower the cost of a fleet truck, it is very detail oriented yet very interesting, chanlleging"
"Data Scientist at JUUL Labs was asked..."," How would you come up with a model for the rate of substitution of juul products for cigarette products ?"
"Data Scientist at Microsoft was asked..."," Describe one of your projects and how much responsibilities you took in delivering the results."
"Data Scientist at J.P. Morgan was asked..."," In the first place, they were interested in my financial knowledge. They also were trying to determine how much machine learning I knew."
"Data Scientist at Crossover for Work was asked..."," Are you ok with installing spying software on your computer and handling your own taxes?"
"Senior Data Scientist at Centiment was asked..."," Define optimal decision boundary achievement in a second generation neural network model"
"Data Scientist at C3 was asked..."," 4 questions were asked, 3 multiple choice machine learning based questions. One was coding an algorithm. The coding interface was not that easy to debug in (I'd suggest you try a few Hackerrank questions first, I tried the sample one but I never had to debug so I didn't realise) and I couldn't output the answer in the needed format but on my IDE I got a correct answer."
"Data Scientist at Wayfair was asked..."," 1.) Peer data scientist asked a probability problem and gave me a printed out algorithm and asked to explain what it does. Both were very esoteric and I am not sure what they were supposed to test... 2.) Engineers asked simple algorithm in Python and then attempted to ask about how I would detect robots in the server logs to account for them in estimating conversion rates. There were actually a junior and a senior engineer. The junior engineer was just listening in, and the interview was dominated by the senior guy. It probably was partly my fault, but the senior guy asking the question was unable to communicate clearly what he was asking and eventually became preachy and arrogant. 3.) The chief architect asked a geometrical brain teaser (I assume to test my thinking process?) and then we had a chat about the company and primarily his initiatives. 4.) The director of data science asked standard management questions."
"Senior Data Scientist at Centiment was asked..."," Describe the steps involved in creating a neural network"
"Senior Data Scientist at Centiment was asked..."," Tell me the difference between the maximum margin classfier and the hyperplane"
"Data Scientist at CKM Advisors was asked..."," How do you learn new skills?"
"Data Scientist at Tapad was asked..."," What is your Masters GPA?"
"Data Scientist at CKM Advisors was asked..."," Pick any problem out there and solve it using data."
"Data Scientist at Loadsmart was asked..."," Interviews include concepts/questions about algorithms, Python, SQL, case study."
"Data Scientist at Capital One was asked..."," Explain the bias-variance tradeoff."
"Data Scientist at Point72 was asked..."," behavioral questions about location and fit"
"Data Scientist at Xaxis was asked..."," Experience with logistic regression, data challenge on predicting impression probabilities - includes questions on regularisation."
"Data Scientist at Unified was asked..."," Resume based. Regression, classifiers."
"Data Scientist at First Data was asked..."," The first round interview was a mixture of behavioral and a case interview. It was very conversational and casual, and the interviewer helped me with areas where I stumbled on the case. The case was a long one that tested math, strategy and innovative thinking."
"Data Scientist at Tapad was asked..."," What is your Masters GPA?"
"Junior Data Scientist at Bloomberg L.P. was asked..."," What is the probability for two un-parallel lines to intersect within a circle?"
"Data Scientist at Qeexo was asked..."," Asked to build a predictive model for their acoustic based touch classifications. "
"Senior Data Scientist at Spotify was asked..."," How can we deal with extreme values in data?"
"Data Scientist at Integral Ad Science was asked..."," Write code to solve "
"Data Scientist at Integral Ad Science was asked..."," We're trying to do ____. What do you see as the challenges here? How would you approach this problem if you were in charge of solving it?"
"Data Scientist at Grubhub was asked..."," Explain gradient boosting decision trees. "
"Data Scientist at Grubhub was asked..."," What do you mean by “fitting the residuals”?"
"Data Scientist at Correlation One was asked..."," Basic machine learning"
"Data Scientist at Grubhub was asked..."," Do you know what gradient descent is?"
"Data Scientist at Grubhub was asked..."," How do random forests treat categorical variables?"
"Data Scientist at Facebook was asked..."," the probability of getting a pair, a straight in 52 cards"
"Data Scientist at Oscar Health was asked..."," Should the government fund space exploration?"
"Data Scientist at Spotify was asked..."," Present a solution to a data assignment with a vague question."
"Data Scientist at Spotify was asked..."," Hypothetical business questions related to Spotify's data."
"Data Scientist at Capital One was asked..."," Interpret this ANOVA table."
"Data Scientist at Capital One was asked..."," What is VIF (in regression output)?"
"Data Scientist at Capital One was asked..."," Are false positives or false negatives more important?"
"Data Scientist at Capital One was asked..."," How do you learn something new?"
"Data Scientist at Municipal Credit Union was asked..."," if I would consent to a background and credit check"
"Data Scientist at Capital One was asked..."," Describe a time you worked on a team."
"Data Scientist at Capital One was asked..."," Difference between random forest and gradient boosted tree."
"Data Scientist at Capital One was asked..."," What does regularization do?"
"Data Scientist at Capital One was asked..."," Write pseudocode for map reduce"
"Data Scientist at BlueMountain Capital Management was asked..."," how to compute median of lots (and lots of) data in 10 computers when it is costly to do big cross-computer calculations"
"Data Scientist at Facebook was asked..."," If you implement a new feature to FB how would you measure the success"
"Data Scientist at Facebook was asked..."," some sql question dealing with join func"
"Data Scientist at Ellington Management Group was asked..."," This is the dataset that we are working on. Which aspects are you going to look at, and how?"
"Data Scientist at Tapad was asked..."," The first round is about the machine learning knowledge, there are 2 interviewers from data science team and all of them are PhD. They ask me about my experience and projects on my resume. The question are very detail, and you need know very well about your project. They also introduce to me about what they do in the data science team. The second round is a coding interview. The interviewer ask me to write a specific class using python. I was not very familiar with the top programming, and the interviewer gave me an detail example and a lot of hints to guide me finish the process. The two rounds onsite interview and the interviewers are all very nice."
"Data Scientist at 1010data was asked..."," probability question machine learning algorithm"
"Data Scientist at Nielsen was asked..."," How would you get all the unique values from an attribute in R?"
"Data Scientist at Commonwealth Bank of Australia was asked..."," I was asked 2 programming questions and a predictive modeling question, and had to present on a whiteboard to the interviewer."
"Associate Data Scientist at First Derivatives was asked..."," Why first derivatives? What do you know about us? What was your favorite college course and why? "
"Data Scientist at Wink was asked..."," sketch a sudo code to check if Sudoku (the game) is Right."
"Data Scientist at Cablevision Systems was asked..."," What is random forest?"
"New Graduate Data Scientist at Visa Inc. was asked..."," 4 MCQs"
"New Graduate Data Scientist at Visa Inc. was asked..."," 3 coding challenge"
"Data Scientist at CKM Advisors was asked..."," Questions on the logic of my code in the data analytics homework exercise. Heavy focus on defending my recommendations by referencing my analysis. "
"Data Scientist at SITO Mobile was asked..."," Experience with geospatial data"
"Data Scientist at Gust was asked..."," data challenge using postgresql"
"Data Scientist at Clover Health was asked..."," Questions on probability"
"Data Scientist at IBM was asked..."," Easy questions"
"Data Scientist at CKM Advisors was asked..."," NDA"
"Data Scientist at iDigerati was asked..."," What is my weakness?"
"Data Scientist at Quicken Loans was asked..."," Why QL?"
"Data Scientist at TIBCO Software was asked..."," Something like ""select which attitude describes you in the following situation"""
"Data Scientist at UnitedHealth Group was asked..."," Simple programming questions to verify that you do know programming"
"Principal Data Scientist at Via Transportation was asked..."," Why do you want to work here?"
"Data Scientist at Google was asked..."," Explain a probability distribution that is not normal and how to apply that."
"Data Scientist at J.P. Morgan was asked..."," Find Intersection of 2 lists, describe various machine learning terms. Many algorithms questions."
"Data Scientist at 1010data was asked..."," What my goals are."
"Data Scientist at Fulcrum Analytics was asked..."," Machine Learning and Python basics. Missing values, imputing, and some aptitude math questions."
"Data Scientist, Analytics at Facebook was asked..."," 2 Questions for the half hour interview, one about the product sense, like how to detect the fake information input from the user. Another one is the SQL problem"
"Data Scientist at Dataiku was asked..."," What's your expectation for this internship position?"
"Data Scientist at J.P. Morgan was asked..."," Talk about your projects."
"Data Scientist at Accenture was asked..."," tell me about the time when you have solved a conflict at work."
"Data Scientist at OnDeck was asked..."," Typical algorithm questions - if a string is a palindrome, etc."
"Data Scientist at FlightSafety International was asked..."," What is the difference between a concrete class and an interface?"
"Data Scientist at Amazon was asked..."," tell me about lstm"
"Data Scientist at Slalom was asked..."," Some machine learning question"
"Applied Data Scientist at ThetaRay was asked..."," Describe a time when you were unsuccessful at achieving a goal."
"Data Scientist at BD was asked..."," How did you know about BD?"
"Data Scientist at Facebook was asked..."," It's a phone interview about technical question. About how to generate all possible friendship given four tables with the ""request"", ""accept"",""reject"", and ""remove"" information."
"Data Scientist at Con Edison was asked..."," write a for loop to reverse a string by using python"
"Data Scientist at Con Edison was asked..."," find best func(x,y) given x and y"
"Data Scientist at Con Edison was asked..."," find second highest salary employee by using sql"
"Data Scientist at Google was asked..."," Describe the process of data analysis?"
"Data Analyst/Data Scientist at Stash Invest was asked..."," There were no technical questions aside from the pandas coding question I mentioned above."
"Data Scientist at White Ops was asked..."," Work I mentioned in my resume"
"Data Scientist at Time Inc. was asked..."," Define an algorithm for checking if a string is a palindrome"
"Data Scientist at Caserta was asked..."," Inspect a dataset to find potential issues."
"Data Scientist at Munich Re was asked..."," Talk about past projects and experience"
"Data Scientist at Sabre was asked..."," What is your most successful things? Why you choose Sabre? "
"Senior Data Scientist at AIG was asked..."," Random questions irrelevant to data science"
"Senior Data Scientist at DigitalOcean was asked..."," - Diagram a solution for a multi-modal document prediction task. - Explain overfitting in the context of various algorithms (SVM, random forest, neural network) and techniques to mitigate it (very technical on the details) - Explain how you would deal with class imbalance or other sources of bias in a training data set (again, very technical on the details) - Explain how you would use a Docker container to make a deployable machine learning service using Kubernetes (wanted many devops details). - Have you used a pipeline automation tool like Luigi? Have you used monitoring tools like PagerDuty?"
"Financial Data Scientist at Bloomberg L.P. was asked..."," Newton's method to calculate the square root"
"Data Scientist at Simulmedia was asked..."," General experience questions "
"Data Scientist at BuzzFeed was asked..."," Tell us a project you'd do at Buzzfeed."
"Data Scientist at Aptus Health was asked..."," I was presented with a problem that often comes up in the data, and how would I address it. "
"Data Scientist at Fractal Analytics was asked..."," Inference questions"
"Data Scientist at Integral Ad Science was asked..."," Data analysis, usual coding and stats questions"
"Data Scientist at Bitly was asked..."," We're interested in tracking users that may appear in our systems via many device ID's. That is, someone may click a Bitly link from a mobile device, and at another time, that same user may click another Bitly link from a laptop at home. We only have these device ID's in addition to sites visited and other metadata, and we would like to attribute these actions to the same user across devices. How would you approach this problem?"
"Data Scientist/Consultant at EY was asked..."," Most questions are related to experience/skills mentioned on resume. For data science, machine learning and statistical techniques are of interest and questions related to these should be expected."
"Data Scientist at Munich Re was asked..."," What are the projects you have done in your current company?"
"Associate Data Scientist at 360i was asked..."," Asked about previous experience"
"Data Scientist at Zocdoc was asked..."," general experience and machine learning"
"Data Scientist at Goldman Sachs was asked..."," How would you prove that the square root of two is irrational?"
"Data Scientist at Applecart was asked..."," would you sign a NDA and do our coding challenge?"
"Client Data Scientist at DemystData was asked..."," 1) When would you use simple Train\Test\Validation Vs K-Cross Validation? 2) How would you implement a predictive model for a specific used case in the banking industry (like Fraud Detection, Credit Risk etc)? "
"Data Scientist at Quantilus was asked..."," We were asked about our previous project."
"Data Scientist at Argo Group was asked..."," The more technical questions were based on projects I had worked on and how I approached them."
"Data Scientist at Integral Ad Science was asked..."," describe your solution to the assignment"
"Data Scientist at Rang Technologies was asked..."," Q: Would you be okay with me increasing your work experience?"
"Data Scientist at OnDeck was asked..."," Algorithm questions, basic statistics, questions about my background"
"Data Scientist at Rang Technologies was asked..."," Q: Tell me about yourself."
"Data Scientist at Rang Technologies was asked..."," Q: Tell me about yourself."
"Image Data Scientist at Merck was asked..."," Question about my research and published papers."
"Data Scientist at Rang Technologies was asked..."," What is your salary expectation, what is your experience blablabla"
"Data Scientist at Etsy was asked..."," How do you know if the data are overfitted?"
"Data Scientist at Etsy was asked..."," How would you evaluate your binary classifier?"
"Data Scientist at Zillow was asked..."," What analytics skills do you have?"
"Data Scientist at Bayer was asked..."," What are you a good fit?"
"Research Lead/Data Scientist at Spotify was asked..."," How would you detect anomalous behavior? How would you generate profiles of users? The questions came up in the course of conversation though (i.e. in response to things I had said)"
"Data Scientist at Quora, Inc. was asked..."," What features do you like about Quora. How can you improve Quora."
"Data Scientist at M Science was asked..."," A balanced mix of questions about my equity markets experience, programming and statistics ability"
"R&D at Philips was asked..."," Behavioral questions, and a few about past projects in school related to the job. Interviewer was very friendly."
"Data Scientist at 1010data was asked..."," How would you know if a grocery store is out of stock on one specific item based looking at the total transaction database of the store?"
"Data Scientist Phd at Etsy was asked..."," How would you evaluate your binary classifier? "
